haar 0.882 0.878 0.872
coif1 0.927 0.926 0.925
coif2 0.949 0.95 0.951
coif3 0.952 0.953 0.953
coif4 0.934 0.933 0.934
coif5 0.932 0.932 0.93
coif6 0.934 0.931 0.931
coif7 0.893 0.891 0.892
coif8 0.894 0.893 0.893
coif9 0.892 0.891 0.891
coif10 0.892 0.893 0.889
coif11 0.893 0.891 0.891
coif12 0.897 0.899 0.897
coif13 0.869 0.864 0.866
coif14 0.873 0.873 0.871
coif15 0.87 0.869 0.867
coif16 0.873 0.872 0.873
coif17 0.87 0.868 0.866
db1 0.882 0.878 0.872
db2 0.906 0.917 0.909
db3 0.926 0.923 0.924
db4 0.943 0.942 0.943
db5 0.942 0.939 0.943
db6 0.94 0.938 0.939
db7 0.946 0.944 0.946
db8 0.947 0.946 0.944
db9 0.953 0.955 0.952
db10 0.922 0.922 0.92
db11 0.931 0.929 0.931
db12 0.93 0.927 0.93
db13 0.927 0.925 0.927
db14 0.926 0.928 0.927
db15 0.929 0.927 0.926
db16 0.929 0.931 0.931
db17 0.92 0.919 0.918
db18 0.926 0.925 0.927
db19 0.933 0.932 0.93
db20 0.89 0.89 0.891
db21 0.889 0.888 0.885
db22 0.895 0.895 0.893
db23 0.889 0.886 0.888
db24 0.882 0.882 0.883
db25 0.896 0.894 0.899
db26 0.896 0.896 0.894
db27 0.898 0.896 0.896
db28 0.893 0.891 0.892
db29 0.9 0.899 0.898
db30 0.894 0.891 0.894
db31 0.895 0.891 0.894
db32 0.9 0.903 0.899
db33 0.898 0.898 0.898
db34 0.888 0.885 0.89
db35 0.896 0.896 0.898
db36 0.891 0.891 0.892
db37 0.886 0.885 0.884
db38 0.895 0.892 0.894
haar 0.882 0.878 0.872
sym2 0.906 0.917 0.909
sym3 0.926 0.923 0.924
sym4 0.95 0.95 0.95
sym5 0.942 0.941 0.941
sym6 0.946 0.947 0.945
sym7 0.948 0.947 0.946
sym8 0.952 0.95 0.95
sym9 0.95 0.95 0.95
sym10 0.933 0.933 0.934
sym11 0.918 0.92 0.917
sym12 0.928 0.929 0.929
sym13 0.926 0.923 0.923
sym14 0.932 0.932 0.932
sym15 0.928 0.926 0.928
sym16 0.931 0.934 0.931
sym17 0.93 0.926 0.928
sym18 0.936 0.934 0.934
sym19 0.929 0.93 0.928
sym20 0.895 0.89 0.888
